               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.011059,            0.015026,            0.015156,             0.83937,             0.91636,             0.89174,             0.87084,            0.005589,            0.025059,            0.012829,           0.0034991,           0.0034991,           0.0034991
                  99,             0.01058,            0.014631,             0.01525,              0.6872,             0.77943,              0.7366,             0.70035,            0.011019,            0.040252,             0.02848,           0.0034152,           0.0034152,           0.0034152
                 100,            0.010368,            0.014583,            0.015078,             0.77882,             0.85923,             0.79318,             0.76326,           0.0077693,            0.036522,            0.020721,           0.0033321,           0.0033321,           0.0033321
                 101,            0.010567,             0.01451,            0.015166,             0.81869,             0.95285,              0.8855,             0.86661,           0.0053355,            0.026682,            0.012386,             0.00325,             0.00325,             0.00325
                 102,             0.01079,            0.014874,            0.015105,             0.82553,             0.89919,             0.88929,             0.86831,            0.005706,            0.024551,            0.012519,           0.0031689,           0.0031689,           0.0031689
                 103,            0.010406,            0.014425,             0.01507,             0.81476,             0.83981,               0.854,             0.82066,           0.0070875,            0.035126,            0.017812,           0.0030888,           0.0030888,           0.0030888
                 104,            0.010011,            0.014389,            0.015078,             0.83025,             0.90035,             0.87648,              0.8508,           0.0062284,            0.025787,            0.013652,           0.0030097,           0.0030097,           0.0030097
                 105,            0.010355,            0.014291,            0.014539,              0.8271,             0.94096,             0.88915,             0.87355,           0.0051878,            0.023994,            0.012054,           0.0029318,           0.0029318,           0.0029318
                 106,            0.010058,            0.014063,            0.014631,             0.86685,             0.92605,             0.90829,             0.89412,           0.0050571,            0.024889,            0.010671,            0.002855,            0.002855,            0.002855
                 107,            0.010235,             0.01428,            0.014604,             0.84859,             0.92358,             0.90201,             0.88517,           0.0051093,            0.025728,            0.011043,           0.0027793,           0.0027793,           0.0027793
                 108,           0.0093782,            0.013547,             0.01422,             0.74797,             0.83566,             0.85255,             0.82705,           0.0073169,             0.02872,            0.016987,           0.0027048,           0.0027048,           0.0027048
                 109,            0.009849,            0.013901,            0.014437,             0.83597,             0.90317,             0.89159,              0.8754,           0.0056001,            0.024589,               0.014,           0.0026316,           0.0026316,           0.0026316
                 110,           0.0096161,            0.014007,            0.014293,             0.76784,             0.80303,             0.78617,             0.75834,           0.0087706,            0.035781,            0.022021,           0.0025596,           0.0025596,           0.0025596
                 111,           0.0093443,            0.013651,            0.014441,             0.77019,             0.81764,             0.79885,             0.77295,           0.0081707,            0.034406,            0.027224,           0.0024889,           0.0024889,           0.0024889
                 112,           0.0092517,             0.01353,            0.013647,             0.80747,             0.92479,             0.86639,             0.84388,           0.0057465,            0.028302,            0.014348,           0.0024195,           0.0024195,           0.0024195
                 113,           0.0095477,            0.013785,            0.013829,              0.8071,             0.84987,             0.86296,             0.84063,           0.0063712,            0.033148,            0.017586,           0.0023515,           0.0023515,           0.0023515
                 114,           0.0093636,            0.013534,            0.013786,             0.80243,             0.88652,             0.88014,             0.86294,           0.0050619,            0.022412,            0.014456,           0.0022849,           0.0022849,           0.0022849
                 115,           0.0089357,            0.013142,            0.013263,             0.82379,             0.93857,             0.89186,              0.8776,           0.0050666,            0.023048,            0.011195,           0.0022196,           0.0022196,           0.0022196
                 116,           0.0090415,            0.013357,            0.013008,             0.86295,             0.93207,             0.90211,             0.89125,           0.0045745,             0.02259,            0.010385,           0.0021558,           0.0021558,           0.0021558
                 117,             0.00937,             0.01383,            0.013618,             0.84779,             0.89966,             0.89484,             0.87993,           0.0047919,            0.024485,            0.011594,           0.0020935,           0.0020935,           0.0020935
                 118,            0.008913,            0.013199,            0.013477,             0.81993,             0.87491,             0.87013,             0.85053,           0.0056112,            0.026193,            0.015513,           0.0020327,           0.0020327,           0.0020327
                 119,           0.0088183,            0.013142,            0.013257,             0.84782,             0.89721,             0.89597,             0.87837,           0.0052602,            0.025848,            0.013091,           0.0019734,           0.0019734,           0.0019734
                 120,           0.0088486,            0.013224,            0.013332,             0.83921,             0.95057,             0.89218,             0.87843,           0.0048556,             0.03492,            0.010893,           0.0019156,           0.0019156,           0.0019156
                 121,           0.0087502,            0.012947,            0.013377,             0.79519,             0.85433,             0.87333,             0.85679,           0.0057312,             0.03222,            0.014663,           0.0018594,           0.0018594,           0.0018594
                 122,           0.0088159,            0.012765,            0.012551,             0.83431,             0.90262,             0.87718,             0.85855,           0.0054626,            0.028418,             0.01452,           0.0018048,           0.0018048,           0.0018048
                 123,           0.0083549,            0.012711,            0.013054,             0.77382,             0.93576,             0.88467,             0.87322,           0.0044732,             0.02075,            0.014179,           0.0017519,           0.0017519,           0.0017519
                 124,           0.0085172,            0.012878,            0.012971,             0.82847,             0.91022,             0.88596,             0.87215,           0.0047931,            0.027035,            0.012248,           0.0017005,           0.0017005,           0.0017005
                 125,           0.0084505,            0.012768,            0.012713,             0.83321,             0.85474,             0.87303,              0.8518,           0.0057746,            0.031431,            0.017463,           0.0016509,           0.0016509,           0.0016509
                 126,            0.008655,            0.012618,            0.013134,             0.83883,             0.86451,             0.89843,              0.8791,           0.0055126,            0.033005,            0.014496,           0.0016029,           0.0016029,           0.0016029
                 127,           0.0081616,            0.012647,            0.012101,             0.77675,             0.86695,             0.86388,             0.84486,           0.0053808,            0.029184,             0.01575,           0.0015566,           0.0015566,           0.0015566
                 128,           0.0082239,            0.012599,            0.013038,             0.80644,             0.89672,             0.88577,              0.8735,           0.0046245,            0.028547,            0.013421,           0.0015121,           0.0015121,           0.0015121
                 129,           0.0082045,            0.012511,            0.013089,             0.79982,             0.93353,             0.89113,             0.87958,           0.0044511,            0.027434,            0.012044,           0.0014693,           0.0014693,           0.0014693
