               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,           0.0052136,           0.0023634,            0.011229,             0.93414,             0.94306,             0.97926,             0.97926,           0.0012701,           0.0022205,           0.0024253,           0.0072438,           0.0072438,           0.0072438
                  58,           0.0051457,           0.0023299,            0.010353,              0.9522,             0.92757,             0.97949,             0.97949,           0.0012743,           0.0022209,           0.0024083,           0.0071566,           0.0071566,           0.0071566
                  59,           0.0051606,           0.0023429,            0.010715,             0.95274,             0.92792,             0.97959,             0.97959,            0.001284,           0.0022248,           0.0023933,           0.0070686,           0.0070686,           0.0070686
                  60,           0.0050637,           0.0023128,            0.010752,             0.95255,             0.92752,             0.97956,             0.97956,           0.0012861,           0.0022326,           0.0023954,           0.0069799,           0.0069799,           0.0069799
                  61,           0.0051103,           0.0023276,            0.010571,             0.95683,             0.92339,             0.97967,             0.97967,           0.0012893,             0.00223,           0.0023865,           0.0068906,           0.0068906,           0.0068906
                  62,           0.0050041,           0.0022928,             0.01024,             0.95364,             0.92636,             0.97968,             0.97968,           0.0012994,           0.0022377,           0.0023928,           0.0068006,           0.0068006,           0.0068006
                  63,           0.0049985,           0.0022558,             0.01065,             0.95187,             0.92706,             0.97966,             0.97966,           0.0013072,           0.0022444,           0.0024045,           0.0067101,           0.0067101,           0.0067101
                  64,           0.0049227,           0.0022807,            0.010566,             0.94965,             0.92856,             0.97975,             0.97975,           0.0013107,           0.0022501,            0.002401,           0.0066191,           0.0066191,           0.0066191
                  65,           0.0048178,           0.0022608,             0.01051,             0.94936,             0.92853,             0.97989,             0.97989,            0.001321,           0.0022551,           0.0023972,           0.0065276,           0.0065276,           0.0065276
                  66,           0.0048483,           0.0022482,            0.010272,              0.9505,              0.9271,             0.97999,             0.97999,           0.0013303,           0.0022537,           0.0023972,           0.0064356,           0.0064356,           0.0064356
                  67,           0.0048516,           0.0022134,            0.010297,             0.95343,             0.92438,             0.97995,             0.97995,           0.0013424,           0.0022577,           0.0024023,           0.0063432,           0.0063432,           0.0063432
                  68,           0.0048119,           0.0022062,            0.010285,             0.95223,             0.92662,              0.9802,              0.9802,           0.0013606,           0.0022577,           0.0023845,           0.0062505,           0.0062505,           0.0062505
